mal_id,title,title_english,title_japanese,genres,url,item_idx
1399,Macross 7 Encore,,マクロス7アンコール,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",https://myanimelist.net/anime/1399/Macross_7_Encore,1118.0
7877,"Momoko, Kaeru no Uta ga Kikoeru yo.",My Sister Momoko,もも子、かえるの歌がきこえるよ。,"['Drama', 'Slice of Life']",https://myanimelist.net/anime/7877/Momoko_Kaeru_no_Uta_ga_Kikoeru_yo,3416.0
2964,Blue Drop: Tenshi-tachi no Gikyoku,Blue Drop,BLUE DROP ～天使達の戯曲～,"['Drama', 'Girls Love', 'Sci-Fi']",https://myanimelist.net/anime/2964/Blue_Drop__Tenshi-tachi_no_Gikyoku,2144.0
30379,Nagato Yuki-chan no Shoushitsu: Owarenai Natsuyasumi,The Disappearance of Nagato Yuki-chan: I Cannot Let Summer Break End,長門有希ちゃんの消失 第17話「終われない夏休み」,['Comedy'],https://myanimelist.net/anime/30379/Nagato_Yuki-chan_no_Shoushitsu__Owarenai_Natsuyasumi,5512.0
5298,Yu☆Gi☆Oh! 5D's: Shinkasuru Kettou! Stardust vs. Red Demon's,,遊☆戯☆王5D's 進化する決闘! スターダストVSレッド・デーモンズ,"['Fantasy', 'Sci-Fi']",https://myanimelist.net/anime/5298/Yu☆Gi☆Oh_5Ds__Shinkasuru_Kettou_Stardust_vs_Red_Demons,2912.0
37281,Joshiochi! 2-kai kara Onnanoko ga... Futtekita!?,What She Fell on Was the Tip of My Dick,じょしおちっ！～2階から女の子が…降ってきた！？～,"['Comedy', 'Hentai']",https://myanimelist.net/anime/37281/Joshiochi_2-kai_kara_Onnanoko_ga_Futtekita,6842.0
5194,Aneimo,Square Sisters,あねいも,['Hentai'],https://myanimelist.net/anime/5194/Aneimo,2877.0
9311,Kateikyoushi no Oneesan 2 The Animation: H no Hensachi Agechaimasu,,家庭教師のおねえさん2 THE ANIMATION～Hの偏差値あげちゃいます～,['Hentai'],https://myanimelist.net/anime/9311/Kateikyoushi_no_Oneesan_2_The_Animation__H_no_Hensachi_Agechaimasu,3637.0
50470,Kami Kuzu☆Idol,Phantom of the Idol,神クズ☆アイドル,"['Comedy', 'Supernatural']",https://myanimelist.net/anime/50470/Kami_Kuzu☆Idol,8466.0
3125,Tokimeki Tonight,,ときめきトゥナイト,"['Comedy', 'Fantasy', 'Romance']",https://myanimelist.net/anime/3125/Tokimeki_Tonight,2242.0
155,X/1999,X - The Movie,"エックス, X/1999","['Action', 'Drama', 'Fantasy', 'Mystery']",https://myanimelist.net/anime/155/X_1999,128.0
